,begin_schedule
19,"{92: 48960, 91: 49020, 90: 49045, 1: 49070, 86: 49162, 87: 49187, 2: 49247, 3: 49289, 4: 49330, 36: 49365, 37: 49368, 5: 49458, 6: 49486, 7: 49520, 8: 49553, 9: 49578}"
22,"{10: 47940, 11: 48000, 12: 48027, 13: 48057, 14: 48080, 15: 48102, 38: 48131, 35: 48240, 34: 48243, 82: 48265, 81: 48311, 85: 48349, 84: 48409, 83: 48430, 16: 48446, 17: 48510, 88: 48523, 89: 48548, 93: 48573}"
56,"{10: 48300, 11: 48360, 12: 48379, 13: 48400, 14: 48416, 44: 48431, 45: 48435, 46: 48453, 47: 48660, 48: 48664, 65: 48671, 66: 48686, 67: 48701, 68: 48716, 69: 48731, 70: 48746, 71: 48761, 72: 48776, 73: 48791, 74: 48802}"
57,"{10: 50100, 11: 50160, 12: 50179, 13: 50200, 14: 50216, 44: 50231, 45: 50235, 46: 50253, 47: 50460, 48: 50464, 65: 50471, 66: 50486, 67: 50501, 68: 50516, 69: 50531, 70: 50546, 71: 50561, 72: 50576, 73: 50591, 74: 50602}"
93,"{58: 47220, 57: 47280, 56: 47291, 55: 47306, 54: 47321, 53: 47336, 52: 47351, 51: 47366, 50: 47381, 49: 47396, 43: 47411, 35: 47417, 42: 47420, 36: 47421, 37: 47424, 5: 47640, 6: 47660, 7: 47684, 8: 47707, 9: 47725}"
94,"{58: 49080, 57: 49140, 56: 49151, 55: 49166, 54: 49181, 53: 49196, 52: 49211, 51: 49226, 50: 49241, 49: 49256, 43: 49271, 35: 49277, 42: 49280, 36: 49281, 37: 49284, 5: 49500, 6: 49520, 7: 49544, 8: 49567, 9: 49585}"
150,"{10: 47280, 11: 47340, 12: 47359, 13: 47380, 14: 47396, 44: 47411, 45: 47415, 46: 47433, 47: 47640, 48: 47644, 65: 47651, 66: 47666, 67: 47681, 68: 47696, 69: 47711, 70: 47726, 71: 47741, 72: 47756, 73: 47771, 74: 47782}"
152,"{10: 49140, 11: 49200, 12: 49219, 13: 49240, 14: 49256, 44: 49271, 45: 49275, 46: 49293, 47: 49500, 48: 49504, 65: 49511, 66: 49526, 67: 49541, 68: 49556, 69: 49571, 70: 49586, 71: 49601, 72: 49616, 73: 49631, 74: 49642}"
155,"{58: 48060, 57: 48120, 56: 48131, 55: 48146, 54: 48161, 53: 48176, 52: 48191, 51: 48206, 50: 48221, 49: 48236, 43: 48251, 35: 48257, 42: 48260, 36: 48261, 37: 48264, 5: 48480, 6: 48500, 7: 48524, 8: 48547, 9: 48565}"
157,"{58: 49800, 57: 49860, 56: 49871, 55: 49886, 54: 49901, 53: 49916, 52: 49931, 51: 49946, 50: 49961, 49: 49976, 43: 49991, 35: 49997, 42: 50000, 36: 50001, 37: 50004, 5: 50220, 6: 50240, 7: 50264, 8: 50287, 9: 50305}"
230,"{10: 47520, 11: 47580, 12: 47607, 13: 47637, 14: 47660, 15: 47682, 38: 47711, 35: 47880, 34: 47883, 82: 47905, 81: 47951, 85: 47989, 84: 48049, 83: 48070, 16: 48086, 17: 48150, 88: 48163, 89: 48188, 93: 48213}"
262,"{92: 48180, 91: 48240, 90: 48260, 1: 48280, 86: 48351, 87: 48370, 2: 48430, 3: 48463, 4: 48494, 36: 48521, 37: 48524, 5: 48720, 6: 48742, 7: 48768, 8: 48794, 9: 48814}"
