,end_schedule
12,"{92: 16681, 91: 16706, 90: 16731, 1: 16823, 86: 16848, 87: 16908, 2: 16950, 3: 16991, 4: 17026, 36: 17029, 37: 17119, 5: 17147, 6: 17181, 7: 17214, 8: 17239, 9: 17298}"
28,"{92: 14701, 91: 14726, 90: 14751, 1: 14843, 86: 14868, 87: 14928, 2: 14970, 3: 15011, 4: 15046, 36: 15049, 37: 15139, 5: 15167, 6: 15201, 7: 15234, 8: 15259, 9: 15318}"
29,"{92: 16501, 91: 16523, 90: 16545, 1: 16625, 86: 16647, 87: 16707, 2: 16744, 3: 16779, 4: 16809, 36: 16812, 37: 16981, 5: 17006, 6: 17036, 7: 17065, 8: 17087, 9: 17146}"
37,"{10: 14641, 11: 14660, 12: 14681, 13: 14697, 14: 14712, 44: 14716, 45: 14734, 46: 15001, 47: 15005, 48: 15012, 65: 15027, 66: 15042, 67: 15057, 68: 15072, 69: 15087, 70: 15102, 71: 15117, 72: 15132, 73: 15143, 74: 15202}"
38,"{10: 16201, 11: 16220, 12: 16241, 13: 16257, 14: 16272, 44: 16276, 45: 16294, 46: 16501, 47: 16505, 48: 16512, 65: 16527, 66: 16542, 67: 16557, 68: 16572, 69: 16587, 70: 16602, 71: 16617, 72: 16632, 73: 16643, 74: 16702}"
39,"{10: 17941, 11: 17960, 12: 17981, 13: 17997, 14: 18012, 44: 18016, 45: 18034, 46: 18241, 47: 18245, 48: 18252, 65: 18267, 66: 18282, 67: 18297, 68: 18312, 69: 18327, 70: 18342, 71: 18357, 72: 18372, 73: 18383, 74: 18442}"
76,"{58: 16201, 57: 16212, 56: 16227, 55: 16242, 54: 16257, 53: 16272, 52: 16287, 51: 16302, 50: 16317, 49: 16332, 43: 16338, 35: 16341, 42: 16342, 36: 16345, 37: 16501, 5: 16521, 6: 16545, 7: 16568, 8: 16586, 9: 16645}"
114,"{10: 15721, 11: 15740, 12: 15761, 13: 15777, 14: 15792, 44: 15796, 45: 15814, 46: 16081, 47: 16085, 48: 16092, 65: 16107, 66: 16122, 67: 16137, 68: 16152, 69: 16167, 70: 16182, 71: 16197, 72: 16212, 73: 16223, 74: 16282}"
116,"{10: 17581, 11: 17600, 12: 17621, 13: 17637, 14: 17652, 44: 17656, 45: 17674, 46: 17941, 47: 17945, 48: 17952, 65: 17967, 66: 17982, 67: 17997, 68: 18012, 69: 18027, 70: 18042, 71: 18057, 72: 18072, 73: 18083, 74: 18142}"
119,"{58: 15421, 57: 15432, 56: 15447, 55: 15462, 54: 15477, 53: 15492, 52: 15507, 51: 15522, 50: 15537, 49: 15552, 43: 15558, 35: 15561, 42: 15562, 36: 15565, 37: 15721, 5: 15741, 6: 15765, 7: 15788, 8: 15806, 9: 15865}"
121,"{58: 17641, 57: 17652, 56: 17667, 55: 17682, 54: 17697, 53: 17712, 52: 17727, 51: 17742, 50: 17757, 49: 17772, 43: 17778, 35: 17781, 42: 17782, 36: 17785, 37: 17941, 5: 17961, 6: 17985, 7: 18008, 8: 18026, 9: 18085}"
195,"{92: 14461, 91: 14486, 90: 14511, 1: 14603, 86: 14628, 87: 14688, 2: 14730, 3: 14771, 4: 14806, 36: 14809, 37: 14941, 5: 14969, 6: 15003, 7: 15036, 8: 15061, 9: 15120}"
196,"{10: 15361, 11: 15385, 12: 15411, 13: 15431, 14: 15450, 15: 15476, 38: 15661, 35: 15664, 34: 15683, 82: 15723, 81: 15756, 85: 15816, 84: 15835, 83: 15849, 16: 15905, 17: 15916, 88: 15938, 89: 15960, 93: 16019}"
197,"{92: 16261, 91: 16283, 90: 16305, 1: 16385, 86: 16407, 87: 16467, 2: 16504, 3: 16539, 4: 16569, 36: 16572, 37: 16741, 5: 16766, 6: 16796, 7: 16825, 8: 16847, 9: 16906}"
198,"{10: 16321, 11: 16342, 12: 16365, 13: 16383, 14: 16400, 15: 16423, 38: 16621, 35: 16624, 34: 16641, 82: 16676, 81: 16706, 85: 16766, 84: 16783, 83: 16795, 16: 16845, 17: 16855, 88: 16875, 89: 16895, 93: 16954}"
199,"{92: 17881, 91: 17901, 90: 17921, 1: 17992, 86: 18011, 87: 18071, 2: 18104, 3: 18135, 4: 18162, 36: 18165, 37: 18361, 5: 18383, 6: 18409, 7: 18435, 8: 18455, 9: 18514}"
200,"{10: 17161, 11: 17188, 12: 17218, 13: 17241, 14: 17263, 15: 17292, 38: 17461, 35: 17464, 34: 17486, 82: 17532, 81: 17570, 85: 17630, 84: 17651, 83: 17667, 16: 17731, 17: 17744, 88: 17769, 89: 17794, 93: 17853}"
