,begin_schedule
5,"{92: 21960, 91: 22020, 90: 22045, 1: 22070, 86: 22162, 87: 22187, 2: 22247, 3: 22289, 4: 22330, 36: 22365, 37: 22368, 5: 22458, 6: 22486, 7: 22520, 8: 22553, 9: 22578}"
42,"{10: 22980, 11: 23040, 12: 23059, 13: 23080, 14: 23096, 44: 23111, 45: 23115, 46: 23133, 47: 23280, 48: 23284, 65: 23291, 66: 23306, 67: 23321, 68: 23336, 69: 23351, 70: 23366, 71: 23381, 72: 23396, 73: 23411, 74: 23422}"
43,"{10: 24780, 11: 24840, 12: 24859, 13: 24880, 14: 24896, 44: 24911, 45: 24915, 46: 24933, 47: 25080, 48: 25084, 65: 25091, 66: 25106, 67: 25121, 68: 25136, 69: 25151, 70: 25166, 71: 25181, 72: 25196, 73: 25211, 74: 25222}"
79,"{58: 22080, 57: 22140, 56: 22151, 55: 22166, 54: 22181, 53: 22196, 52: 22211, 51: 22226, 50: 22241, 49: 22256, 43: 22271, 35: 22277, 42: 22280, 36: 22281, 37: 22284, 5: 22500, 6: 22520, 7: 22544, 8: 22567, 9: 22585}"
80,"{58: 23880, 57: 23940, 56: 23951, 55: 23966, 54: 23981, 53: 23996, 52: 24011, 51: 24026, 50: 24041, 49: 24056, 43: 24071, 35: 24077, 42: 24080, 36: 24081, 37: 24084, 5: 24300, 6: 24320, 7: 24344, 8: 24367, 9: 24385}"
122,"{10: 21840, 11: 21900, 12: 21919, 13: 21940, 14: 21956, 44: 21971, 45: 21975, 46: 21993, 47: 22260, 48: 22264, 65: 22271, 66: 22286, 67: 22301, 68: 22316, 69: 22331, 70: 22346, 71: 22361, 72: 22376, 73: 22391, 74: 22402}"
124,"{10: 23700, 11: 23760, 12: 23779, 13: 23800, 14: 23816, 44: 23831, 45: 23835, 46: 23853, 47: 24060, 48: 24064, 65: 24071, 66: 24086, 67: 24101, 68: 24116, 69: 24131, 70: 24146, 71: 24161, 72: 24176, 73: 24191, 74: 24202}"
127,"{58: 22860, 57: 22920, 56: 22931, 55: 22946, 54: 22961, 53: 22976, 52: 22991, 51: 23006, 50: 23021, 49: 23036, 43: 23051, 35: 23057, 42: 23060, 36: 23061, 37: 23064, 5: 23280, 6: 23300, 7: 23324, 8: 23347, 9: 23365}"
129,"{58: 24660, 57: 24720, 56: 24731, 55: 24746, 54: 24761, 53: 24776, 52: 24791, 51: 24806, 50: 24821, 49: 24836, 43: 24851, 35: 24857, 42: 24860, 36: 24861, 37: 24864, 5: 25080, 6: 25100, 7: 25124, 8: 25147, 9: 25165}"
205,"{92: 22620, 91: 22680, 90: 22700, 1: 22720, 86: 22791, 87: 22810, 2: 22870, 3: 22903, 4: 22934, 36: 22961, 37: 22964, 5: 23160, 6: 23182, 7: 23208, 8: 23234, 9: 23254}"
206,"{10: 22200, 11: 22260, 12: 22287, 13: 22317, 14: 22340, 15: 22362, 38: 22391, 35: 22560, 34: 22563, 82: 22585, 81: 22631, 85: 22669, 84: 22729, 83: 22750, 16: 22766, 17: 22830, 88: 22843, 89: 22868, 93: 22893}"
207,"{92: 24420, 91: 24480, 90: 24500, 1: 24520, 86: 24591, 87: 24610, 2: 24670, 3: 24703, 4: 24734, 36: 24761, 37: 24764, 5: 24960, 6: 24982, 7: 25008, 8: 25034, 9: 25054}"
208,"{10: 24000, 11: 24060, 12: 24084, 13: 24110, 14: 24130, 15: 24149, 38: 24175, 35: 24360, 34: 24363, 82: 24382, 81: 24422, 85: 24455, 84: 24515, 83: 24534, 16: 24548, 17: 24604, 88: 24615, 89: 24637, 93: 24659}"
285,"{92: 23220, 91: 23280, 90: 23300, 1: 23320, 86: 23391, 87: 23410, 2: 23470, 3: 23503, 4: 23534, 36: 23561, 37: 23564, 5: 23760, 6: 23782, 7: 23808, 8: 23834, 9: 23854}"
287,"{92: 25020, 91: 25080, 90: 25105, 1: 25130, 86: 25222, 87: 25247, 2: 25307, 3: 25349, 4: 25390, 36: 25425, 37: 25428, 5: 25560, 6: 25588, 7: 25622, 8: 25655, 9: 25680}"
288,"{10: 21600, 11: 21660, 12: 21687, 13: 21717, 14: 21740, 15: 21762, 38: 21791, 35: 21960, 34: 21963, 82: 21985, 81: 22031, 85: 22069, 84: 22129, 83: 22150, 16: 22166, 17: 22230, 88: 22243, 89: 22268, 93: 22293}"
290,"{10: 23340, 11: 23400, 12: 23424, 13: 23450, 14: 23470, 15: 23489, 38: 23515, 35: 23700, 34: 23703, 82: 23722, 81: 23762, 85: 23795, 84: 23855, 83: 23874, 16: 23888, 17: 23944, 88: 23955, 89: 23977, 93: 23999}"
396,"{92: 22080, 91: 22140, 90: 22165, 1: 22190, 86: 22282, 87: 22307, 2: 22367, 3: 22409, 4: 22450, 36: 22485, 37: 22488, 5: 22680, 6: 22708, 7: 22742, 8: 22775, 9: 22800}"
397,"{10: 24480, 11: 24540, 12: 24564, 13: 24590, 14: 24610, 15: 24629, 38: 24655, 35: 24840, 34: 24843, 82: 24862, 81: 24902, 85: 24935, 84: 24995, 83: 25014, 16: 25028, 17: 25084, 88: 25095, 89: 25117, 93: 25139}"
442,"{92: 23820, 91: 23880, 90: 23902, 1: 23924, 86: 24004, 87: 24026, 2: 24086, 3: 24123, 4: 24158, 36: 24188, 37: 24191, 5: 24360, 6: 24385, 7: 24415, 8: 24444, 9: 24466}"
444,"{10: 22680, 11: 22740, 12: 22764, 13: 22790, 14: 22810, 15: 22829, 38: 22855, 35: 23040, 34: 23043, 82: 23062, 81: 23102, 85: 23135, 84: 23195, 83: 23214, 16: 23228, 17: 23284, 88: 23295, 89: 23317, 93: 23339}"
