,current_route
62,"[0, 10, 11, 12, 13, 14, 44, 45, 46, 47, 48, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 94]"
63,"[0, 10, 11, 12, 13, 14, 44, 45, 46, 47, 48, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 94]"
99,"[0, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 43, 35, 42, 36, 37, 5, 6, 7, 8, 9, 94]"
100,"[0, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 43, 35, 42, 36, 37, 5, 6, 7, 8, 9, 94]"
162,"[0, 10, 11, 12, 13, 14, 44, 45, 46, 47, 48, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 94]"
164,"[0, 10, 11, 12, 13, 14, 44, 45, 46, 47, 48, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 94]"
167,"[0, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 43, 35, 42, 36, 37, 5, 6, 7, 8, 9, 94]"
169,"[0, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 43, 35, 42, 36, 37, 5, 6, 7, 8, 9, 94]"
231,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
232,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
233,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
234,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
255,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
257,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
323,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
325,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
327,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
330,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
332,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
422,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
427,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
468,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
470,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
471,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
