,end_schedule
1,"{92: 8641, 91: 8666, 90: 8691, 1: 8783, 86: 8808, 87: 8868, 2: 8910, 3: 8951, 4: 8986, 36: 8989, 37: 9079, 5: 9107, 6: 9141, 7: 9174, 8: 9199, 9: 9258}"
2,"{10: 5641, 11: 5668, 12: 5698, 13: 5721, 14: 5743, 15: 5772, 38: 5941, 35: 5944, 34: 5966, 82: 6012, 81: 6050, 85: 6110, 84: 6131, 83: 6147, 16: 6211, 17: 6224, 88: 6249, 89: 6274, 93: 6333}"
3,"{92: 12301, 91: 12326, 90: 12351, 1: 12443, 86: 12468, 87: 12528, 2: 12570, 3: 12611, 4: 12646, 36: 12649, 37: 12739, 5: 12767, 6: 12801, 7: 12834, 8: 12859, 9: 12918}"
4,"{10: 13861, 11: 13888, 12: 13918, 13: 13941, 14: 13963, 15: 13992, 38: 14161, 35: 14164, 34: 14186, 82: 14232, 81: 14270, 85: 14330, 84: 14351, 83: 14367, 16: 14431, 17: 14444, 88: 14469, 89: 14494, 93: 14553}"
5,"{92: 22021, 91: 22046, 90: 22071, 1: 22163, 86: 22188, 87: 22248, 2: 22290, 3: 22331, 4: 22366, 36: 22369, 37: 22459, 5: 22487, 6: 22521, 7: 22554, 8: 22579, 9: 22638}"
6,"{92: 42721, 91: 42743, 90: 42765, 1: 42845, 86: 42867, 87: 42927, 2: 42964, 3: 42999, 4: 43029, 36: 43032, 37: 43141, 5: 43166, 6: 43196, 7: 43225, 8: 43247, 9: 43306}"
7,"{10: 36361, 11: 36385, 12: 36411, 13: 36431, 14: 36450, 15: 36476, 38: 36661, 35: 36664, 34: 36683, 82: 36723, 81: 36756, 85: 36816, 84: 36835, 83: 36849, 16: 36905, 17: 36916, 88: 36938, 89: 36960, 93: 37019}"
8,"{10: 52561, 11: 52588, 12: 52618, 13: 52641, 14: 52663, 15: 52692, 38: 52861, 35: 52864, 34: 52886, 82: 52932, 81: 52970, 85: 53030, 84: 53051, 83: 53067, 16: 53131, 17: 53144, 88: 53169, 89: 53194, 93: 53253}"
9,"{92: 61621, 91: 61646, 90: 61671, 1: 61763, 86: 61788, 87: 61848, 2: 61890, 3: 61931, 4: 61966, 36: 61969, 37: 62059, 5: 62087, 6: 62121, 7: 62154, 8: 62179, 9: 62238}"
10,"{10: 57001, 11: 57028, 12: 57058, 13: 57081, 14: 57103, 15: 57132, 38: 57301, 35: 57304, 34: 57326, 82: 57372, 81: 57410, 85: 57470, 84: 57491, 83: 57507, 16: 57571, 17: 57584, 88: 57609, 89: 57634, 93: 57693}"
11,"{10: 10261, 11: 10288, 12: 10318, 13: 10341, 14: 10363, 15: 10392, 38: 10501, 35: 10504, 34: 10526, 82: 10572, 81: 10610, 85: 10670, 84: 10691, 83: 10707, 16: 10771, 17: 10784, 88: 10809, 89: 10834, 93: 10893}"
12,"{92: 16681, 91: 16706, 90: 16731, 1: 16823, 86: 16848, 87: 16908, 2: 16950, 3: 16991, 4: 17026, 36: 17029, 37: 17119, 5: 17147, 6: 17181, 7: 17214, 8: 17239, 9: 17298}"
13,"{10: 19201, 11: 19225, 12: 19251, 13: 19271, 14: 19290, 15: 19316, 38: 19441, 35: 19444, 34: 19463, 82: 19503, 81: 19536, 85: 19596, 84: 19615, 83: 19629, 16: 19685, 17: 19696, 88: 19718, 89: 19740, 93: 19799}"
14,"{92: 27421, 91: 27446, 90: 27471, 1: 27563, 86: 27588, 87: 27648, 2: 27690, 3: 27731, 4: 27766, 36: 27769, 37: 27859, 5: 27887, 6: 27921, 7: 27954, 8: 27979, 9: 28038}"
15,"{10: 26401, 11: 26428, 12: 26458, 13: 26481, 14: 26503, 15: 26532, 38: 26641, 35: 26644, 34: 26666, 82: 26712, 81: 26750, 85: 26810, 84: 26831, 83: 26847, 16: 26911, 17: 26924, 88: 26949, 89: 26974, 93: 27033}"
16,"{92: 34621, 91: 34643, 90: 34665, 1: 34745, 86: 34767, 87: 34827, 2: 34864, 3: 34899, 4: 34929, 36: 34932, 37: 35041, 5: 35066, 6: 35096, 7: 35125, 8: 35147, 9: 35206}"
17,"{10: 33601, 11: 33628, 12: 33658, 13: 33681, 14: 33703, 15: 33732, 38: 33841, 35: 33844, 34: 33866, 82: 33912, 81: 33950, 85: 34010, 84: 34031, 83: 34047, 16: 34111, 17: 34124, 88: 34149, 89: 34174, 93: 34233}"
18,"{92: 41821, 91: 41841, 90: 41861, 1: 41932, 86: 41951, 87: 42011, 2: 42044, 3: 42075, 4: 42102, 36: 42105, 37: 42241, 5: 42263, 6: 42289, 7: 42315, 8: 42335, 9: 42394}"
19,"{92: 49021, 91: 49046, 90: 49071, 1: 49163, 86: 49188, 87: 49248, 2: 49290, 3: 49331, 4: 49366, 36: 49369, 37: 49459, 5: 49487, 6: 49521, 7: 49554, 8: 49579, 9: 49638}"
20,"{10: 40801, 11: 40825, 12: 40851, 13: 40871, 14: 40890, 15: 40916, 38: 41041, 35: 41044, 34: 41063, 82: 41103, 81: 41136, 85: 41196, 84: 41215, 83: 41229, 16: 41285, 17: 41296, 88: 41318, 89: 41340, 93: 41399}"
21,"{92: 56221, 91: 56243, 90: 56265, 1: 56345, 86: 56367, 87: 56427, 2: 56464, 3: 56499, 4: 56529, 36: 56532, 37: 56641, 5: 56666, 6: 56696, 7: 56725, 8: 56747, 9: 56806}"
22,"{10: 48001, 11: 48028, 12: 48058, 13: 48081, 14: 48103, 15: 48132, 38: 48241, 35: 48244, 34: 48266, 82: 48312, 81: 48350, 85: 48410, 84: 48431, 83: 48447, 16: 48511, 17: 48524, 88: 48549, 89: 48574, 93: 48633}"
23,"{92: 63301, 91: 63326, 90: 63351, 1: 63443, 86: 63468, 87: 63528, 2: 63570, 3: 63611, 4: 63646, 36: 63649, 37: 63739, 5: 63767, 6: 63801, 7: 63834, 8: 63859, 9: 63918}"
