,begin_schedule
1,"{92: 8580, 91: 8640, 90: 8665, 1: 8690, 86: 8782, 87: 8807, 2: 8867, 3: 8909, 4: 8950, 36: 8985, 37: 8988, 5: 9078, 6: 9106, 7: 9140, 8: 9173, 9: 9198}"
2,"{10: 5580, 11: 5640, 12: 5667, 13: 5697, 14: 5720, 15: 5742, 38: 5771, 35: 5940, 34: 5943, 82: 5965, 81: 6011, 85: 6049, 84: 6109, 83: 6130, 16: 6146, 17: 6210, 88: 6223, 89: 6248, 93: 6273}"
3,"{92: 12240, 91: 12300, 90: 12325, 1: 12350, 86: 12442, 87: 12467, 2: 12527, 3: 12569, 4: 12610, 36: 12645, 37: 12648, 5: 12738, 6: 12766, 7: 12800, 8: 12833, 9: 12858}"
4,"{10: 13800, 11: 13860, 12: 13887, 13: 13917, 14: 13940, 15: 13962, 38: 13991, 35: 14160, 34: 14163, 82: 14185, 81: 14231, 85: 14269, 84: 14329, 83: 14350, 16: 14366, 17: 14430, 88: 14443, 89: 14468, 93: 14493}"
5,"{92: 21960, 91: 22020, 90: 22045, 1: 22070, 86: 22162, 87: 22187, 2: 22247, 3: 22289, 4: 22330, 36: 22365, 37: 22368, 5: 22458, 6: 22486, 7: 22520, 8: 22553, 9: 22578}"
6,"{92: 42660, 91: 42720, 90: 42742, 1: 42764, 86: 42844, 87: 42866, 2: 42926, 3: 42963, 4: 42998, 36: 43028, 37: 43031, 5: 43140, 6: 43165, 7: 43195, 8: 43224, 9: 43246}"
7,"{10: 36300, 11: 36360, 12: 36384, 13: 36410, 14: 36430, 15: 36449, 38: 36475, 35: 36660, 34: 36663, 82: 36682, 81: 36722, 85: 36755, 84: 36815, 83: 36834, 16: 36848, 17: 36904, 88: 36915, 89: 36937, 93: 36959}"
8,"{10: 52500, 11: 52560, 12: 52587, 13: 52617, 14: 52640, 15: 52662, 38: 52691, 35: 52860, 34: 52863, 82: 52885, 81: 52931, 85: 52969, 84: 53029, 83: 53050, 16: 53066, 17: 53130, 88: 53143, 89: 53168, 93: 53193}"
9,"{92: 61560, 91: 61620, 90: 61645, 1: 61670, 86: 61762, 87: 61787, 2: 61847, 3: 61889, 4: 61930, 36: 61965, 37: 61968, 5: 62058, 6: 62086, 7: 62120, 8: 62153, 9: 62178}"
10,"{10: 56940, 11: 57000, 12: 57027, 13: 57057, 14: 57080, 15: 57102, 38: 57131, 35: 57300, 34: 57303, 82: 57325, 81: 57371, 85: 57409, 84: 57469, 83: 57490, 16: 57506, 17: 57570, 88: 57583, 89: 57608, 93: 57633}"
11,"{10: 10200, 11: 10260, 12: 10287, 13: 10317, 14: 10340, 15: 10362, 38: 10391, 35: 10500, 34: 10503, 82: 10525, 81: 10571, 85: 10609, 84: 10669, 83: 10690, 16: 10706, 17: 10770, 88: 10783, 89: 10808, 93: 10833}"
12,"{92: 16620, 91: 16680, 90: 16705, 1: 16730, 86: 16822, 87: 16847, 2: 16907, 3: 16949, 4: 16990, 36: 17025, 37: 17028, 5: 17118, 6: 17146, 7: 17180, 8: 17213, 9: 17238}"
13,"{10: 19140, 11: 19200, 12: 19224, 13: 19250, 14: 19270, 15: 19289, 38: 19315, 35: 19440, 34: 19443, 82: 19462, 81: 19502, 85: 19535, 84: 19595, 83: 19614, 16: 19628, 17: 19684, 88: 19695, 89: 19717, 93: 19739}"
14,"{92: 27360, 91: 27420, 90: 27445, 1: 27470, 86: 27562, 87: 27587, 2: 27647, 3: 27689, 4: 27730, 36: 27765, 37: 27768, 5: 27858, 6: 27886, 7: 27920, 8: 27953, 9: 27978}"
15,"{10: 26340, 11: 26400, 12: 26427, 13: 26457, 14: 26480, 15: 26502, 38: 26531, 35: 26640, 34: 26643, 82: 26665, 81: 26711, 85: 26749, 84: 26809, 83: 26830, 16: 26846, 17: 26910, 88: 26923, 89: 26948, 93: 26973}"
16,"{92: 34560, 91: 34620, 90: 34642, 1: 34664, 86: 34744, 87: 34766, 2: 34826, 3: 34863, 4: 34898, 36: 34928, 37: 34931, 5: 35040, 6: 35065, 7: 35095, 8: 35124, 9: 35146}"
17,"{10: 33540, 11: 33600, 12: 33627, 13: 33657, 14: 33680, 15: 33702, 38: 33731, 35: 33840, 34: 33843, 82: 33865, 81: 33911, 85: 33949, 84: 34009, 83: 34030, 16: 34046, 17: 34110, 88: 34123, 89: 34148, 93: 34173}"
18,"{92: 41760, 91: 41820, 90: 41840, 1: 41860, 86: 41931, 87: 41950, 2: 42010, 3: 42043, 4: 42074, 36: 42101, 37: 42104, 5: 42240, 6: 42262, 7: 42288, 8: 42314, 9: 42334}"
19,"{92: 48960, 91: 49020, 90: 49045, 1: 49070, 86: 49162, 87: 49187, 2: 49247, 3: 49289, 4: 49330, 36: 49365, 37: 49368, 5: 49458, 6: 49486, 7: 49520, 8: 49553, 9: 49578}"
20,"{10: 40740, 11: 40800, 12: 40824, 13: 40850, 14: 40870, 15: 40889, 38: 40915, 35: 41040, 34: 41043, 82: 41062, 81: 41102, 85: 41135, 84: 41195, 83: 41214, 16: 41228, 17: 41284, 88: 41295, 89: 41317, 93: 41339}"
21,"{92: 56160, 91: 56220, 90: 56242, 1: 56264, 86: 56344, 87: 56366, 2: 56426, 3: 56463, 4: 56498, 36: 56528, 37: 56531, 5: 56640, 6: 56665, 7: 56695, 8: 56724, 9: 56746}"
22,"{10: 47940, 11: 48000, 12: 48027, 13: 48057, 14: 48080, 15: 48102, 38: 48131, 35: 48240, 34: 48243, 82: 48265, 81: 48311, 85: 48349, 84: 48409, 83: 48430, 16: 48446, 17: 48510, 88: 48523, 89: 48548, 93: 48573}"
23,"{92: 63240, 91: 63300, 90: 63325, 1: 63350, 86: 63442, 87: 63467, 2: 63527, 3: 63569, 4: 63610, 36: 63645, 37: 63648, 5: 63738, 6: 63766, 7: 63800, 8: 63833, 9: 63858}"
24,"{10: 55140, 11: 55200, 12: 55224, 13: 55250, 14: 55270, 15: 55289, 38: 55315, 35: 55440, 34: 55443, 82: 55462, 81: 55502, 85: 55535, 84: 55595, 83: 55614, 16: 55628, 17: 55684, 88: 55695, 89: 55717, 93: 55739}"
25,"{92: 9180, 91: 9240, 90: 9265, 1: 9290, 86: 9382, 87: 9407, 2: 9467, 3: 9509, 4: 9550, 36: 9585, 37: 9588, 5: 9780, 6: 9808, 7: 9842, 8: 9875, 9: 9900}"
26,"{92: 10980, 91: 11040, 90: 11062, 1: 11084, 86: 11164, 87: 11186, 2: 11246, 3: 11283, 4: 11318, 36: 11348, 37: 11351, 5: 11580, 6: 11605, 7: 11635, 8: 11664, 9: 11686}"
27,"{92: 12840, 91: 12900, 90: 12925, 1: 12950, 86: 13042, 87: 13067, 2: 13127, 3: 13169, 4: 13210, 36: 13245, 37: 13248, 5: 13380, 6: 13408, 7: 13442, 8: 13475, 9: 13500}"
